date,description,amount,type,payment_method
2026-07-01,SWIGGY*ORD 88213 BLR,450.00,debit,UPI
2026-07-01,SALARY CREDIT JULY,55000.00,credit,NetBanking
2026-07-02,UPI-AMAZON PAY-9821XXXX,1299.00,debit,UPI
2026-07-03,ZOMATO ONLINE ORDER,320.50,debit,UPI
2026-07-04,RENT TRANSFER LANDLORD,15000.00,debit,NetBanking
2026-07-05,UBER TRIP 4471,180.00,debit,UPI
2026-07-05,NETFLIX SUBSCRIPTION,499.00,debit,Card
2026-07-06,BIGBASKET GROCERY ORDER,2150.75,debit,UPI
2026-07-07,ELECTRICITY BILL BESCOM,1200.00,debit,NetBanking
2026-07-08,STARBUCKS COFFEE MG ROAD,380.00,debit,Card
2026-07-09,SPOTIFY PREMIUM,119.00,debit,Card
2026-07-10,PHARMEASY MEDICINE ORDER,650.00,debit,UPI
2026-07-11,IRCTC TRAIN BOOKING,890.00,debit,NetBanking
2026-07-12,CASH WITHDRAWAL ATM,2000.00,debit,Cash
2026-07-13,FREELANCE PAYMENT RECEIVED,8000.00,credit,NetBanking
2026-07-14,DMART SHOPPING,1875.40,debit,UPI
2026-07-15,JIO RECHARGE,299.00,debit,UPI
2026-07-16,APOLLO PHARMACY,540.00,debit,Card
2026-07-17,OLA CABS RIDE,220.00,debit,UPI
2026-07-18,AMAZON PRIME MEMBERSHIP,1499.00,debit,Card
